grouping,total_hh_income_2018,total_cocoa_income_2018,benchmark,food_value,below_benchmark,fgt_gap,total_hh_income_2018_including_food_value,below_benchmark_with_food,fgt_gap_with_food
Female-headed,564.8854,508.3969,4001,450,1,0.858813947,1014.8854,1,0.746342064
Female-headed,304.403,60.8806,4001,450,1,0.92391827,754.403,1,0.811446388
Female-headed,775.6208,387.8104,4001,450,1,0.806143264,1225.6208,1,0.693671382
Female-headed,310.6949,31.06949,4001,450,1,0.922345689,760.6949,1,0.809873807
Female-headed,92.43517,64.70461,4001,450,1,0.976896983,542.43517,1,0.864425101
Female-headed,347.9338,104.3801,4001,450,1,0.91303829,797.9338,1,0.800566408
Female-headed,711.1427,426.6856,4001,450,1,0.82225876,1161.1427,1,0.709786878
Female-headed,2949.464,1474.732,4001,450,1,0.262818295,3399.464,1,0.150346413
Female-headed,942.4622,565.4774,4001,450,1,0.764443339,1392.4622,1,0.651971457
Female-headed,1624.96,974.9762,4001,450,1,0.593861535,2074.96,1,0.481389653
Female-headed,726.8939,218.0682,4001,450,1,0.818321945,1176.8939,1,0.705850062
Female-headed,1338.732,736.3028,4001,450,1,0.66540065,1788.732,1,0.552928768
Female-headed,1503.381,676.5213,4001,450,1,0.624248688,1953.381,1,0.511776806
Female-headed,639.437,511.5496,4001,450,1,0.840180705,1089.437,1,0.727708823
Female-headed,1336.412,534.565,4001,450,1,0.665980505,1786.412,1,0.553508623
Female-headed,2012.409,1207.445,4001,450,1,0.497023494,2462.409,1,0.384551612
Female-headed,699.4102,454.6166,4001,450,1,0.825191152,1149.4102,1,0.71271927
Female-headed,1515.02,454.5058,4001,450,1,0.621339665,1965.02,1,0.508867783
Female-headed,2783.781,1670.269,4001,450,1,0.304228693,3233.781,1,0.191756811
Female-headed,674.8011,404.8807,4001,450,1,0.83134189,1124.8011,1,0.718870007
Female-headed,569.3389,455.4711,4001,450,1,0.85770085,1019.3389,1,0.745228968
Female-headed,876.8326,175.3665,4001,450,1,0.780846638,1326.8326,1,0.668374756
Female-headed,7400.563,2960.225,4001,450,0,0,7850.563,0,0
Female-headed,1174.883,881.162,4001,450,1,0.706352662,1624.883,1,0.59388078
Female-headed,1609.31,1126.517,4001,450,1,0.597773057,2059.31,1,0.485301175
Female-headed,1533.903,1073.732,4001,450,1,0.616620095,1983.903,1,0.504148213
Female-headed,9995.856,5997.514,4001,450,0,0,10445.856,0,0
Female-headed,1574.768,708.6456,4001,450,1,0.606406398,2024.768,1,0.493934516
Female-headed,387.1233,193.5616,4001,450,1,0.903243364,837.1233,1,0.790771482
Female-headed,2548.737,1784.116,4001,450,1,0.362975006,2998.737,1,0.250503124
Female-headed,3143.323,2514.658,4001,450,1,0.214365659,3593.323,1,0.101893777
Female-headed,770.5435,385.2717,4001,450,1,0.807412272,1220.5435,1,0.69494039
Female-headed,5802.188,1450.547,4001,450,0,0,6252.188,0,0
Female-headed,325.6285,162.8143,4001,450,1,0.918613222,775.6285,1,0.80614134
Female-headed,424.6453,254.7872,4001,450,1,0.893865209,874.6453,1,0.781393327
Female-headed,1886.382,943.1912,4001,450,1,0.528522369,2336.382,1,0.416050487
Female-headed,379.2521,246.5139,4001,450,1,0.905210672,829.2521,1,0.79273879
Female-headed,347.3228,243.1259,4001,450,1,0.913191002,797.3228,1,0.80071912
Female-headed,732.0616,439.2369,4001,450,1,0.817030342,1182.0616,1,0.70455846
Female-headed,856.5587,342.6235,4001,450,1,0.785913847,1306.5587,1,0.673441965
Female-headed,465.5177,279.3106,4001,450,1,0.883649663,915.5177,1,0.771177781
Female-headed,3915.963,1174.789,4001,450,1,0.021253937,4365.963,0,0
Female-headed,635.7689,572.192,4001,450,1,0.841097501,1085.7689,1,0.728625619
Female-headed,379.8001,341.8201,4001,450,1,0.905073707,829.8001,1,0.792601825
Female-headed,1161.622,696.9731,4001,450,1,0.709667083,1611.622,1,0.597195201
Female-headed,823.8443,617.8832,4001,450,1,0.794090402,1273.8443,1,0.68161852
Female-headed,5355.951,3749.165,4001,450,0,0,5805.951,0,0
Female-headed,4718.25,2359.125,4001,450,0,0,5168.25,0,0
Female-headed,2073.396,1244.037,4001,450,1,0.481780555,2523.396,1,0.369308673
Female-headed,6972.767,3137.745,4001,450,0,0,7422.767,0,0
Female-headed,271.6481,203.7361,4001,450,1,0.932104949,721.6481,1,0.819633067
Female-headed,2479.949,991.9798,4001,450,1,0.380167708,2929.949,1,0.267695826
Female-headed,303.4409,303.4409,4001,450,1,0.924158735,753.4409,1,0.811686853
Female-headed,1781.32,1246.924,4001,450,1,0.554781305,2231.32,1,0.442309423
Female-headed,2118.997,1695.197,4001,450,1,0.470383154,2568.997,1,0.357911272
Female-headed,1333.085,866.5055,4001,450,1,0.666812047,1783.085,1,0.554340165
Female-headed,3462.732,1281.211,4001,450,1,0.134533367,3912.732,1,0.022061485
Female-headed,676.3079,405.7847,4001,450,1,0.830965284,1126.3079,1,0.718493402
